page_marker;row_no;material;alias;regime;property;value;unit;effect;source;raw_comment
PAGE 1;;;;;;;;;;"logical page marker; following rows imitate printed table page"
PAGE 1;1;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Центр механических испытаний ЦМИ-4;"For  AISI  321,  quenching  produced  hardness  =  210  HV;  the  reported  effect  was  increase."
PAGE 1;2;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 1;3;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Отдел металлографии ОМГ-3;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 1;4;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 1;5;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 1;6;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 1;7;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 1;8;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для  материала  15-5PH  при  режиме  отпуск  зафиксировано  свойство  «усталостный  предел»:  640  МРа;  эффект  указан  как  increase."
PAGE 1;9;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 1;10;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Центр механических испытаний ЦМИ-4;"For Ti-6Al-4V, annealing produced ultimate tensile strength = 1120 MPa; the reported effect was increase."
PAGE 1;11;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 1;12;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Центр механических испытаний ЦМИ-4;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 1;13;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 1;14;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 1;15;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Группа коррозионных испытаний КОР-1;"Для  материала  7075-T6  при  режиме  растворный  отжиг  зафиксировано  свойство  «относительное  удлинение»:  11,5  %;  эффект  указан  как  decrease."
PAGE 1;16;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 1;17;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 1;18;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Центр механических испытаний ЦМИ-4;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
